Data;Ordem de Venda;Cliente ID;Produto SKU;Qtde;Vencimento;Pagamento;Previsão de Entrega;Entrega Efetiva
2030-01-01 00:00:00;SO777962;C0006;CS001;468;2030-03-05 00:00:00;2030-03-15 00:00:00;2030-01-03 00:00:00;2030-01-13 00:00:00
2030-01-01 00:00:00;SO356272;C0010;CS001;1174;2030-02-12 00:00:00;2030-02-20 00:00:00;2030-01-04 00:00:00;2030-01-12 00:00:00
2030-01-01 00:00:00;SO777962;C0006;CS002;659;2030-03-05 00:00:00;2030-02-25 00:00:00;2030-01-03 00:00:00;2029-12-26 00:00:00
2030-01-01 00:00:00;SO777962;C0006;AS003;437;2030-03-05 00:00:00;2030-03-13 00:00:00;2030-01-03 00:00:00;2030-01-11 00:00:00
2030-01-01 00:00:00;SO356272;C0010;CS004;1126;2030-02-12 00:00:00;2030-02-11 00:00:00;2030-01-04 00:00:00;2030-01-03 00:00:00
2030-01-01 00:00:00;SO777962;C0006;VS005;923;2030-03-05 00:00:00;2030-03-02 00:00:00;2030-01-03 00:00:00;2029-12-31 00:00:00
2030-01-01 00:00:00;SO777962;C0006;CS004;714;2030-03-05 00:00:00;2030-03-02 00:00:00;2030-01-03 00:00:00;2029-12-31 00:00:00
2030-01-01 00:00:00;SO777962;C0006;VS001;891;2030-03-05 00:00:00;2030-03-10 00:00:00;2030-01-03 00:00:00;2030-01-08 00:00:00
2030-01-01 00:00:00;SO777962;C0006;AT002;914;2030-03-05 00:00:00;2030-02-23 00:00:00;2030-01-03 00:00:00;2029-12-24 00:00:00
2030-01-01 00:00:00;SO356272;C0010;VS005;538;2030-02-12 00:00:00;2030-02-22 00:00:00;2030-01-04 00:00:00;2030-01-14 00:00:00
2030-01-01 00:00:00;SO356272;C0010;CT002;688;2030-02-12 00:00:00;2030-02-07 00:00:00;2030-01-04 00:00:00;2029-12-30 00:00:00
2030-01-01 00:00:00;SO777962;C0006;VS002;696;2030-03-05 00:00:00;2030-03-12 00:00:00;2030-01-03 00:00:00;2030-01-10 00:00:00
2030-01-01 00:00:00;SO356272;C0010;AS002;1168;2030-02-12 00:00:00;2030-02-16 00:00:00;2030-01-04 00:00:00;2030-01-08 00:00:00
2030-01-01 00:00:00;SO777962;C0006;AS002;1019;2030-03-05 00:00:00;2030-03-12 00:00:00;2030-01-03 00:00:00;2030-01-10 00:00:00
2030-01-01 00:00:00;SO356272;C0010;VS002;441;2030-02-12 00:00:00;2030-02-17 00:00:00;2030-01-04 00:00:00;2030-01-09 00:00:00
2030-01-01 00:00:00;SO356272;C0010;VS003;1005;2030-02-12 00:00:00;2030-02-19 00:00:00;2030-01-04 00:00:00;2030-01-11 00:00:00
2030-01-01 00:00:00;SO777962;C0006;AS004;448;2030-03-05 00:00:00;2030-03-11 00:00:00;2030-01-03 00:00:00;2030-01-09 00:00:00
2030-01-01 00:00:00;SO356272;C0010;AL002;921;2030-02-12 00:00:00;2030-02-13 00:00:00;2030-01-04 00:00:00;2030-01-05 00:00:00
2030-01-02 00:00:00;SO656356;C0018;VS001;868;2030-03-06 00:00:00;2030-03-01 00:00:00;2030-01-06 00:00:00;2030-01-01 00:00:00
2030-01-02 00:00:00;SO598557;C0002;AS005;630;2030-02-06 00:00:00;2030-01-30 00:00:00;2030-01-04 00:00:00;2029-12-28 00:00:00
2030-01-02 00:00:00;SO598557;C0002;AS003;722;2030-02-06 00:00:00;2030-02-14 00:00:00;2030-01-04 00:00:00;2030-01-12 00:00:00
