Data;Cliente ID;Produto SKU;Qtde
02/01/2023;C0004;VS002;1125
03/01/2023;C0027;AT002;1016
04/01/2023;C0001;AS003;1404
05/01/2023;C0002;VS001;1373
06/01/2023;C0015;AS004;1405
09/01/2023;C0003;AS005;1027
10/01/2023;C0007;VS003;1196
11/01/2023;C0010;VS004;1174
12/01/2023;C0008;VS005;1258
13/01/2023;C0009;CS001;975
16/01/2023;C0011;CT001;1463
17/01/2023;C0014;CL001;1409
18/01/2023;C0016;CL002;1226
19/01/2023;C0017;CT002;1239
20/01/2023;C0018;CT003;1435
23/01/2023;C0021;CS004;1110
24/01/2023;C0022;AL001;1169
25/01/2023;C0023;AL002;1326
26/01/2023;C0024;AS001;975
27/01/2023;C0025;CS003;1085
30/01/2023;C0028;AT001;1107
31/01/2023;C0029;CS002;1106
01/02/2023;C0013;AS002;1104
02/02/2023;C0006;VS002;1435
03/02/2023;C0026;AT002;1364
06/02/2023;C0020;AS003;1479
07/02/2023;C0005;VS001;1169
08/02/2023;C0012;AS004;1272
09/02/2023;C0019;AS005;1235
10/02/2023;C0030;VS003;1250
13/02/2023;C0004;VS004;1093
14/02/2023;C0027;VS005;1057
15/02/2023;C0001;CS001;1136
16/02/2023;C0002;CT001;1346
17/02/2023;C0015;CL001;1165
20/02/2023;C0003;CL002;1340
21/02/2023;C0007;CT002;1137
22/02/2023;C0010;CT003;1274
23/02/2023;C0008;CS004;950
24/02/2023;C0009;AL001;1064
27/02/2023;C0011;AL002;921
28/02/2023;C0014;AS001;1180
01/03/2023;C0016;CS003;1037
02/03/2023;C0017;AT001;1200
03/03/2023;C0018;CS002;1478
06/03/2023;C0021;AS002;1492
07/03/2023;C0022;VS002;999
08/03/2023;C0023;AT002;1452
09/03/2023;C0024;AS003;1370
10/03/2023;C0025;VS001;1097
13/03/2023;C0028;AS004;1359
14/03/2023;C0029;AS005;1446
15/03/2023;C0013;VS003;1334
16/03/2023;C0006;VS004;1286
17/03/2023;C0026;VS005;1459
20/03/2023;C0020;CS001;1252
21/03/2023;C0005;CT001;992
22/03/2023;C0012;CL001;1138
23/03/2023;C0019;CL002;1371
24/03/2023;C0030;CT002;1367
27/03/2023;C0004;CT003;1320
28/03/2023;C0027;CS004;943
29/03/2023;C0001;AL001;1031
30/03/2023;C0002;AL002;1428
31/03/2023;C0015;AS001;1219
03/04/2023;C0003;CS003;1198
04/04/2023;C0007;AT001;1055
05/04/2023;C0010;CS002;955
06/04/2023;C0008;AS002;956
07/04/2023;C0009;VS002;925
10/04/2023;C0011;AT002;1275
11/04/2023;C0014;AS003;1266
12/04/2023;C0016;VS001;1327
13/04/2023;C0017;AS004;1141
14/04/2023;C0018;AS005;1023
17/04/2023;C0021;VS003;1285
18/04/2023;C0022;VS004;1225
19/04/2023;C0023;VS005;1415
20/04/2023;C0024;CS001;1393
21/04/2023;C0025;CT001;908
24/04/2023;C0028;CL001;1288
25/04/2023;C0029;CL002;1134
26/04/2023;C0013;CT002;1279
27/04/2023;C0006;CT003;1027
28/04/2023;C0026;CS004;1135
01/05/2023;C0020;AL001;1207
02/05/2023;C0005;AL002;1477
03/05/2023;C0012;AS001;1425
04/05/2023;C0019;CS003;1441
05/05/2023;C0030;AT001;1447
08/05/2023;C0004;CS002;1237
09/05/2023;C0027;AS002;1244
10/05/2023;C0001;VS002;1454
11/05/2023;C0002;AT002;1168
12/05/2023;C0015;AS003;1043
15/05/2023;C0003;VS001;1045
