Data;Ordem de Venda;Cliente ID;Produto SKU;Qtde;Vencimento;Pagamento;Previsão de Entrega;Entrega Efetiva
2022-01-03 00:00:00;SO519345;C0019;VS005;703;2022-03-07 00:00:00;2022-03-13 00:00:00;2022-01-07 00:00:00;2022-01-13 00:00:00
2022-01-03 00:00:00;SO112796;C0015;AL001;469;2022-02-14 00:00:00;2022-02-12 00:00:00;2022-01-07 00:00:00;2022-01-05 00:00:00
2022-01-03 00:00:00;SO875169;C0028;CT001;592;2022-01-17 00:00:00;2022-01-27 00:00:00;2022-01-11 00:00:00;2022-01-21 00:00:00
2022-01-03 00:00:00;SO162262;C0027;AS005;471;2022-02-14 00:00:00;2022-02-09 00:00:00;2022-01-11 00:00:00;2022-01-06 00:00:00
2022-01-03 00:00:00;SO519345;C0019;CS001;353;2022-03-07 00:00:00;2022-03-04 00:00:00;2022-01-07 00:00:00;2022-01-04 00:00:00
2022-01-03 00:00:00;SO162262;C0027;CT001;589;2022-02-14 00:00:00;2022-02-20 00:00:00;2022-01-11 00:00:00;2022-01-17 00:00:00
2022-01-03 00:00:00;SO875169;C0028;VS005;869;2022-01-17 00:00:00;2022-01-20 00:00:00;2022-01-11 00:00:00;2022-01-14 00:00:00
2022-01-03 00:00:00;SO112796;C0015;AS002;675;2022-02-14 00:00:00;2022-02-22 00:00:00;2022-01-07 00:00:00;2022-01-15 00:00:00
2022-01-03 00:00:00;SO162262;C0027;CS002;841;2022-02-14 00:00:00;2022-02-17 00:00:00;2022-01-11 00:00:00;2022-01-14 00:00:00
2022-01-03 00:00:00;SO875169;C0028;CT003;835;2022-01-17 00:00:00;2022-01-21 00:00:00;2022-01-11 00:00:00;2022-01-15 00:00:00
2022-01-03 00:00:00;SO875169;C0028;AS005;991;2022-01-17 00:00:00;2022-01-27 00:00:00;2022-01-11 00:00:00;2022-01-21 00:00:00
2022-01-03 00:00:00;SO875169;C0028;VS002;951;2022-01-17 00:00:00;2022-01-24 00:00:00;2022-01-11 00:00:00;2022-01-18 00:00:00
2022-01-03 00:00:00;SO112796;C0015;CT001;1072;2022-02-14 00:00:00;2022-02-12 00:00:00;2022-01-07 00:00:00;2022-01-05 00:00:00
