Data;Cliente ID;Produto SKU;Qtde
01/01/2020;C0030;AS002;728
02/01/2020;C0004;VS002;1123
03/01/2020;C0027;AT002;728
06/01/2020;C0001;AS003;1081
07/01/2020;C0002;VS001;976
08/01/2020;C0015;AS004;1048
09/01/2020;C0003;AS005;581
10/01/2020;C0007;VS003;933
13/01/2020;C0010;VS004;1064
14/01/2020;C0008;VS005;1033
15/01/2020;C0009;CS001;720
16/01/2020;C0011;CT001;938
17/01/2020;C0014;CL001;814
20/01/2020;C0016;CL002;981
21/01/2020;C0017;CT002;893
22/01/2020;C0018;CT003;916
23/01/2020;C0021;CS004;815
24/01/2020;C0022;AL001;902
27/01/2020;C0023;AL002;832
28/01/2020;C0024;AS001;842
29/01/2020;C0025;CS003;853
30/01/2020;C0028;AT001;921
31/01/2020;C0029;CS002;735
03/02/2020;C0013;AS002;973
04/02/2020;C0006;VS002;713
05/02/2020;C0026;AT002;669
06/02/2020;C0020;AS003;733
07/02/2020;C0005;VS001;1031
10/02/2020;C0012;AS004;769
11/02/2020;C0019;AS005;662
12/02/2020;C0030;VS003;709
13/02/2020;C0004;VS004;923
14/02/2020;C0027;VS005;1063
17/02/2020;C0001;CS001;622
18/02/2020;C0002;CT001;763
19/02/2020;C0015;CL001;734
20/02/2020;C0003;CL002;697
21/02/2020;C0007;CT002;635
24/02/2020;C0010;CT003;1044
25/02/2020;C0008;CS004;809
26/02/2020;C0009;AL001;667
27/02/2020;C0011;AL002;695
28/02/2020;C0014;AS001;612
02/03/2020;C0016;CS003;837
03/03/2020;C0017;AT001;625
04/03/2020;C0018;CS002;1078
05/03/2020;C0021;AS002;921
06/03/2020;C0022;VS002;1098
09/03/2020;C0023;AT002;674
10/03/2020;C0024;AS003;847
11/03/2020;C0025;VS001;692
12/03/2020;C0028;AS004;1061
13/03/2020;C0029;AS005;677
16/03/2020;C0013;VS003;752
17/03/2020;C0006;VS004;670
18/03/2020;C0026;VS005;842
19/03/2020;C0020;CS001;1032
20/03/2020;C0005;CT001;839
23/03/2020;C0012;CL001;987
24/03/2020;C0019;CL002;1070
25/03/2020;C0030;CT002;669
26/03/2020;C0004;CT003;838
27/03/2020;C0027;CS004;888
30/03/2020;C0001;AL001;1118
31/03/2020;C0002;AL002;590
01/04/2020;C0015;AS001;778
02/04/2020;C0003;CS003;723
03/04/2020;C0007;AT001;652
06/04/2020;C0010;CS002;1088
07/04/2020;C0008;AS002;896
08/04/2020;C0009;VS002;937
09/04/2020;C0011;AT002;1144
10/04/2020;C0014;AS003;880
13/04/2020;C0016;VS001;1118
14/04/2020;C0017;AS004;1098
15/04/2020;C0018;AS005;811
