Data;Ordem de Venda;Cliente ID;Produto SKU;Qtde;Vencimento;Pagamento;Previsão de Entrega;Entrega Efetiva
2021-01-01 00:00:00;SO126328;C0020;CT002;1107;2021-02-26 00:00:00;2021-03-05 00:00:00;2021-01-05 00:00:00;2021-01-12 00:00:00
2021-01-01 00:00:00;SO757074;C0028;AS003;1034;2021-01-15 00:00:00;2021-01-12 00:00:00;2021-01-09 00:00:00;2021-01-06 00:00:00
2021-01-01 00:00:00;SO464690;C0004;VS005;1242;2021-01-15 00:00:00;2021-01-14 00:00:00;2021-01-03 00:00:00;2021-01-02 00:00:00
2021-01-01 00:00:00;SO327580;C0024;CS001;1297;2021-01-29 00:00:00;2021-01-23 00:00:00;2021-01-05 00:00:00;2020-12-30 00:00:00
2021-01-01 00:00:00;SO126328;C0020;AL002;902;2021-02-26 00:00:00;2021-02-23 00:00:00;2021-01-05 00:00:00;2021-01-02 00:00:00
2021-01-01 00:00:00;SO126328;C0020;AT001;533;2021-02-26 00:00:00;2021-03-03 00:00:00;2021-01-05 00:00:00;2021-01-10 00:00:00
2021-01-01 00:00:00;SO126328;C0020;CS003;928;2021-02-26 00:00:00;2021-02-20 00:00:00;2021-01-05 00:00:00;2020-12-30 00:00:00
2021-01-01 00:00:00;SO126328;C0020;AS005;801;2021-02-26 00:00:00;2021-03-01 00:00:00;2021-01-05 00:00:00;2021-01-08 00:00:00
2021-01-01 00:00:00;SO126328;C0020;CT001;1026;2021-02-26 00:00:00;2021-03-06 00:00:00;2021-01-05 00:00:00;2021-01-13 00:00:00
2021-01-01 00:00:00;SO327580;C0024;CT001;1156;2021-01-29 00:00:00;2021-02-06 00:00:00;2021-01-05 00:00:00;2021-01-13 00:00:00
2021-01-01 00:00:00;SO126328;C0020;CL002;721;2021-02-26 00:00:00;2021-02-25 00:00:00;2021-01-05 00:00:00;2021-01-04 00:00:00
2021-01-01 00:00:00;SO464690;C0004;AS003;587;2021-01-15 00:00:00;2021-01-21 00:00:00;2021-01-03 00:00:00;2021-01-09 00:00:00
2021-01-01 00:00:00;SO327580;C0024;AT002;744;2021-01-29 00:00:00;2021-01-19 00:00:00;2021-01-05 00:00:00;2020-12-26 00:00:00
2021-01-01 00:00:00;SO464690;C0004;VS001;424;2021-01-15 00:00:00;2021-01-22 00:00:00;2021-01-03 00:00:00;2021-01-10 00:00:00
